Accession,Organismo,Fecha,País,Hospedador,Aislado
EU241702.1,Orthohantavirus_andesense,Unknown,Chile,Oligoryzomys_longicaudatus,NK120378
EU241701.1,Orthohantavirus_andesense,Unknown,Chile,Oligoryzomys_longicaudatus,NK96566
EU241700.1,Orthohantavirus_andesense,Unknown,Chile,Oligoryzomys_longicaudatus,NK96555
EU241699.1,Orthohantavirus_andesense,Unknown,Chile,Oligoryzomys_longicaudatus,NK104544
EU241698.1,Orthohantavirus_andesense,Unknown,Chile,Oligoryzomys_longicaudatus,NK104535
EU241697.1,Orthohantavirus_andesense,Unknown,Chile,Oligoryzomys_longicaudatus,NK96703
EU241696.1,Orthohantavirus_andesense,Unknown,Chile,Oligoryzomys_longicaudatus,NK95083
EU241695.1,Orthohantavirus_andesense,Unknown,Chile,Oligoryzomys_longicaudatus,NK105362
EU241694.1,Orthohantavirus_andesense,Unknown,Chile,Oligoryzomys_longicaudatus,NK105979
EU241693.1,Orthohantavirus_andesense,Unknown,Chile,Oligoryzomys_longicaudatus,NK108843
EU241692.1,Orthohantavirus_andesense,Unknown,Chile,Oligoryzomys_longicaudatus,NK120092
EU241691.1,Orthohantavirus_andesense,Unknown,Chile,Oligoryzomys_longicaudatus,NK104619
EU241690.1,Orthohantavirus_andesense,Unknown,Chile,Oligoryzomys_longicaudatus,NK96887
EU241689.1,Orthohantavirus_andesense,Unknown,Chile,Oligoryzomys_longicaudatus,NK96865
KF581134.1,Castelo_dos_Sonhos_virus,2010,Peru,Neacomys_spinosus,769
JF750419.1,Tunari_virus,2008,Bolivia,Homo_sapiens,FVB554
JF750418.1,Tunari_virus,2008,Bolivia,Homo_sapiens,FVB640
JF750417.1,Tunari_virus,2009,Bolivia,Homo_sapiens,FVB799
